Employee Name,Employee Number,DOB,Sex,Date of Hire,Date of Termination,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score,Degree,Pay Grade,Communication-Before,Communication-After,Communication Traning,Leadership - Before,Leadership - After,Leadership Development,Mentoring Role,Engagement Score,IQ,Management
"Lunquist, Lisa",1001504432,1982/3/28,Female,08/19/2013,,N/A - still employed,Active,Production       ,Production Technician II,Elijiah Gray,Employee Referral,Exceeds,Bachelor,2,2.88,4.40,Yes,,,,Both Mentor and Mentee,3.97 ,96,No
"Manchester, Robyn",1110029623,1976/8/25,Female,05/11/2016,,N/A - still employed,Active,Production       ,Production Technician II,Webster Butler,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,112,No
"Mancuso, Karen",1304055986,1986/12/10,Female,07/05/2011,2011/8/19,career change,Voluntarily Terminated,Production       ,Production Technician II,Amy Dunn,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,105,No
"McCarthy, Brigit",1406067957,1987/5/21,Female,03/30/2015,,N/A - still employed,Active,Production       ,Production Technician II,Ketsia Liebig,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,111,No
"Miller, Ned",1205033439,1985/6/29,Male,08/15/2011,2014/9/4,performance,Terminated for Cause,Production       ,Production Technician II,Brannon Miller,Website,PIP,Associate,2,1.39,1.25,No,,,,Neither Mentor nor Mentee,1.76 ,125,No
"Monkfish, Erasumus  ",1404066711,1992/8/17,Male,11/07/2011,,N/A - still employed,Active,Production       ,Production Technician II,David Stanley,Social Media,Fully Meets,Bachelor,2,2.35,2.47,No,,,,Mentee,3.55 ,90,No
"Monterro, Luisa",1001103149,1970/4/24,Female,05/13/2013,,N/A - still employed,Active,Production       ,Production Technician II,Kissy Sullivan,Employee Referral,Exceptional,Master,2,3.44,5.00,Yes,,,,Both Mentor and Mentee,4.48 ,126,No
"Moran, Patrick",1408069503,1976/12/3,Male,01/09/2012,,N/A - still employed,Active,Production       ,Production Technician II,Kelley Spirea,Social Media,Fully Meets,Bachelor,2,2.43,2.55,No,,,,Mentee,3.54 ,133,No
"Moumanil, Maliki ",1301052436,1974/12/1,Male,05/13/2013,,N/A - still employed,Active,Production       ,Production Technician II,Michael Albert,Social Media,Fully Meets,Bachelor,2,2.42,2.54,No,,,,Mentee,3.48 ,91,No
"Nowlan, Kristie",1104025435,1985/11/23,Female,11/10/2014,,N/A - still employed,Active,Production       ,Production Technician II,Elijiah Gray,Social Media,Fully Meets,Bachelor,2,2.34,2.46,No,,,,Mentee,3.41 ,130,No
"Oliver, Brooke ",1001856521,1952/2/11,Female,05/14/2012,2013/8/19,unhappy,Voluntarily Terminated,Production       ,Production Technician II,Webster Butler,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,100,No
"Pelletier, Ermine",1202031821,1989/7/18,Female,07/05/2011,2011/9/15,unhappy,Voluntarily Terminated,Production       ,Production Technician II,Amy Dunn,Website,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,105,No
"Peters, Lauren",1411071406,1986/8/17,Female,05/16/2011,2012/2/4,more money,Voluntarily Terminated,Production       ,Production Technician II,Ketsia Liebig,Employee Referral,Exceeds,Master,2,2.89,3.68,No,,,,Both Mentor and Mentee,3.27 ,155,No
"Petingill, Shana  ",1103024843,1979/3/10,Female,04/02/2012,,N/A - still employed,Active,Production       ,Production Technician II,Brannon Miller,Social Media,Fully Meets,Bachelor,2,2.41,2.54,No,,,,Mentee,3.53 ,146,No
"Roberson, May",1402065340,1981/9/5,Female,09/26/2011,2011/10/22,return to school,Voluntarily Terminated,Production       ,Production Technician II,David Stanley,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,128,No
"Robertson, Peter",1499902991,1972/7/3,Male,07/05/2011,2012/2/8,career change,Voluntarily Terminated,Production       ,Production Technician II,Kissy Sullivan,Website,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Neither Mentor nor Mentee,2.77 ,122,No
"Sahoo, Adil",1106026462,1986/4/26,Male,08/30/2010,,N/A - still employed,Active,Production       ,Production Technician II,Kelley Spirea,Social Media,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Mentee,3.61 ,128,No
"Sloan, Constance",1012023103,1987/11/25,Female,10/26/2009,2015/4/8,attendance,Voluntarily Terminated,Production       ,Production Technician II,Michael Albert,Website,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,2.84 ,115,No
"Smith, Joe",1001970770,1963/10/30,Male,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician II,Elijiah Gray,Employee Referral,Exceeds,Bachelor,2,2.95,4.52,Yes,,,,Both Mentor and Mentee,3.92 ,128,No
"Tejeda, Lenora ",1406068345,1953/5/24,Female,05/16/2011,2012/7/8,career change,Voluntarily Terminated,Production       ,Production Technician II,Elijiah Gray,Social Media,Fully Meets,Bachelor,2,2.56,2.69,No,,,,Neither Mentor nor Mentee,2.77 ,107,No
"Thibaud, Kenneth",1011022777,1975/9/16,Male,06/25/2007,2010/8/30,career change,Voluntarily Terminated,Production       ,Production Technician II,Webster Butler,Website,Fully Meets,Bachelor,2,2.51,2.63,No,,,,Mentee,2.95 ,126,No
"Trzeciak, Cybil",1107027551,1985/3/15,Female,01/10/2011,2012/7/2,unhappy,Voluntarily Terminated,Production       ,Production Technician II,Amy Dunn,Website,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Neither Mentor nor Mentee,2.49 ,100,No
"Walker, Roger",1011022818,1976/2/10,Male,08/18/2014,,N/A - still employed,Active,Production       ,Production Technician II,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,3.42 ,103,No
"Winthrop, Jordan  ",1405067188,1958/11/7,male,01/07/2013,2016/2/21,retiring,Voluntarily Terminated,Production       ,Production Technician II,Brannon Miller,Employee Referral,Exceeds,Bachelor,2,3.00,3.82,No,,,,Both Mentor and Mentee,3.20 ,144,No
"Wolk, Hang  T",1205033180,1985/4/20,Female,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician II,David Stanley,Website,Fully Meets,Bachelor,2,2.35,2.46,No,,,,Mentee,3.42 ,107,No
"Woodson, Jason",1012023010,1985/5/11,Male,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician II,Kissy Sullivan,Website,Fully Meets,Bachelor,2,2.35,2.47,No,,,,Mentee,3.43 ,143,No
"Buck, Edward",1504073313,1975/7/7,Male,09/29/2014,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,2.99,4.49,Yes,3,4,Yes,Both Mentor and Mentee,3.42 ,118,Yes
"Bunbury, Jessica",1504073368,1964/6/1,Female,08/15/2011,2014/8/2,career change,Voluntarily Terminated,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.10,3.25,No,,,,Neither Mentor nor Mentee,2.76 ,143,Yes
"Carter, Michelle ",1403065721,1963/5/15,Female,08/18/2014,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.06,4.58,Yes,3,4,Yes,Both Mentor and Mentee,3.42 ,93,Yes
"Costa, Latia",1409070567,1988/11/8,Female,01/10/2011,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Headhunter,Exceeds,Master,4,3.48,5.00,Yes,4,5,Yes,Both Mentor and Mentee,4.09 ,129,Yes
"Dietrich, Jenna  ",1408069481,1987/5/14,Female,02/20/2012,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Website,PIP,Associate,4,1.97,1.78,No,1,1,No,Neither Mentor nor Mentee,2.84 ,127,Yes
"Digitale, Alfred",1306059197,1988/9/14,Male,08/18/2014,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Headhunter,Fully Meets,Master,4,2.93,4.39,Yes,2,3,Yes,Both Mentor and Mentee,3.42 ,151,Yes
"Fraval, Maruk ",1411071302,1963/8/28,Male,09/06/2011,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,3.10,4.65,Yes,3,5,Yes,Both Mentor and Mentee,3.56 ,134,Yes
"Friedman, Gerry",1204032843,1969/2/24,Male,03/07/2011,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.08,4.62,Yes,3,4,Yes,Both Mentor and Mentee,3.58 ,117,Yes
"Gill, Whitney  ",1302053046,1971/7/10,Female,07/07/2014,2015/9/5,attendance,Terminated for Cause,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.02,3.17,No,,,,Mentee,2.83 ,93,Yes
"Givens, Myriam",1203032099,1989/9/22,Female,02/16/2015,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Job Fair,N/A- too early to review,Master,4,,,,,,,Mentee,,127,Yes
"Gonzales, Ricardo",1411071481,1954/10/12,Male,05/12/2014,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.10,4.66,Yes,3,3,Yes,Both Mentor and Mentee,3.44 ,153,Yes
"Guilianno, Mike",1001167253,1969/2/9,Male,03/07/2011,2014/10/31,relocation out of area,Voluntarily Terminated,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,3.08,3.24,No,,,,Mentee,2.78 ,114,Yes
Jeremy Prater,1001084890,1974/5/9,Male,05/12/2014,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Website,PIP,Associate,4,2.01,1.81,No,1,1,No,Neither Mentor nor Mentee,2.74 ,89,Yes
"Khemmich, Bartholemew",1104025008,1979/11/27,Male,08/19/2013,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,2.99,4.48,Yes,3,4,Yes,Both Mentor and Mentee,3.47 ,137,Yes
"Leruth, Giovanni",1412071660,1988/12/27,Male,04/30/2012,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,2.96,4.45,Yes,2,2,No,Both Mentor and Mentee,3.53 ,121,Yes
"Martins, Joseph",1209048771,1970/6/11,Male,05/14/2012,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Headhunter,Fully Meets,Master,4,3.06,4.59,Yes,3,4,Yes,Both Mentor and Mentee,3.53 ,154,Yes
"McKinzie, Jac",1209049326,1984/7/1,Male,07/06/2016,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Website,N/A- too early to review,Master,4,,,,,,,Mentee,,106,Yes
"Mullaney, Howard",1306057978,1975/11/2,Male,09/29/2014,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Website,Needs Improvement,Associate,4,2.49,2.47,No,2,1,No,Mentee,2.92 ,126,Yes
"Nguyen, Dheepa",1111030684,1989/3/31,Female,07/08/2013,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,2.94,4.42,Yes,2,4,Yes,Both Mentor and Mentee,3.47 ,145,Yes
"Onque, Jasmine",1501072180,1990/5/11,Female,09/30/2013,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Headhunter,Fully Meets,Master,4,2.94,4.40,Yes,2,2,No,Both Mentor and Mentee,3.46 ,123,Yes
"Ozark, Travis",812011761,1982/5/19,Male,01/05/2015,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Website,N/A- too early to review,Master,4,,,,,,,Mentee,,108,Yes
"Potts, Xana",1102024106,1988/8/29,Female,01/09/2012,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,2.97,4.45,Yes,2,3,Yes,Both Mentor and Mentee,3.54 ,116,Yes
"Riordan, Michael",1502072711,1968/1/15,Male,01/09/2006,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Headhunter,Exceeds,Master,4,3.67,5.00,Yes,4,5,Yes,Both Mentor and Mentee,4.32 ,149,Yes
"Strong, Caitrin",1411071295,1989/5/12,Female,09/27/2010,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,2.99,4.48,Yes,2,4,Yes,Both Mentor and Mentee,3.60 ,135,Yes
"Terry, Sharlene ",1401064637,1965/5/7,Female,09/29/2014,,N/A - still employed,Active,Sales,Area Sales Manager,Lynn Daneault,Social Media,Fully Meets,Master,4,3.04,4.57,Yes,3,4,Yes,Both Mentor and Mentee,3.42 ,144,Yes
"Valentin,Jackie",1312063714,1991/5/23,Female,07/05/2011,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Social Media,Fully Meets,Master,4,2.97,4.45,Yes,2,3,Yes,Both Mentor and Mentee,3.57 ,98,Yes
"Villanueva, Noah",1111030503,1989/7/11,Male,03/05/2012,,N/A - still employed,Active,Sales,Area Sales Manager,John Smith,Headhunter,Fully Meets,Master,4,2.96,4.45,Yes,1,3,Yes,Both Mentor and Mentee,3.54 ,149,Yes
"Houlihan, Debra",1009021646,1966/3/17,Female,05/05/2014,,N/A - still employed,Active,Sales,Director of Sales,Janet King,Headhunter,Fully Meets,Master,5,3.35,3.51,No,3,3,No,Mentee,3.44 ,130,Yes
"Daneault, Lynn",1402065303,1990/4/19,Female,05/05/2014,,N/A - still employed,Active,Sales,Sales Manager,Debra Houlihan,Social Media,Fully Meets,Master,4,2.93,4.39,Yes,2,3,Yes,Both Mentor and Mentee,3.44 ,149,Yes
"Kampew, Donysha    ",1109029264,1989/11/11,Female,11/07/2011,2014/4/24,attendance,Voluntarily Terminated,Sales,Sales Manager,Debra Houlihan,Headhunter,Fully Meets,Master,4,2.97,3.12,No,,,,Mentee,2.75 ,106,Yes
"Smith, John",1499902910,1984/8/16,Male,05/18/2014,,N/A - still employed,Active,Sales,Sales Manager,Debra Houlihan,Website,Needs Improvement,Bachelor,4,2.46,2.43,No,1,1,No,Mentee,2.94 ,120,Yes
"Andreola, Colby",1107027358,1979/5/24,Female,11/10/2014,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Social Media,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.41 ,95,No
"Carabbio, Judith",1101023577,1987/4/5,Female,11/11/2013,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Job Fair,Exceeds,Master,2,2.85,4.36,Yes,,,,Both Mentor and Mentee,3.96 ,107,No
"Del Bosque, Keyla",1203032498,1979/7/5,Female,01/09/2012,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Website,Exceeds,Master,2,2.92,4.46,Yes,,,,Both Mentor and Mentee,4.04 ,161,No
"Exantus, Susan",1401064670,1987/5/15,Female,05/02/2011,2013/6/5,attendance,Terminated for Cause,IT/IS,Software Engineer,Alex Sweetwater,Website,Needs Improvement,Associate,2,1.89,1.87,No,,,,Neither Mentor nor Mentee,2.27 ,127,No
"Martin, Sandra",1303054625,1987/11/7,Female,11/11/2013,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Headhunter,Fully Meets,Bachelor,2,2.35,2.46,No,,,,Mentee,3.46 ,108,No
"Patronick, Luke",1112030979,1979/2/20,Male,11/07/2011,2015/9/7,career change,Voluntarily Terminated,IT/IS,Software Engineer,Alex Sweetwater,Headhunter,Exceeds,Master,2,2.92,3.71,No,,,,Both Mentor and Mentee,3.25 ,139,No
"Saada, Adell",1012023185,1986/7/24,Female,11/05/2012,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Social Media,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.51 ,122,No
"Szabo, Andrew",1201031324,1983/5/6,Male,07/07/2014,,N/A - still employed,Active,IT/IS,Software Engineer,Alex Sweetwater,Headhunter,Exceptional,Master,2,3.36,5.00,Yes,,,,Both Mentor and Mentee,4.43 ,183,No
"True, Edward",1102024057,1983/6/14,Male,02/18/2013,2014/4/15,medical issues,Voluntarily Terminated,IT/IS,Software Engineer,Alex Sweetwater,Social Media,Fully Meets,Bachelor,2,2.38,2.50,No,,,,Mentee,2.69 ,135,No
"Sweetwater, Alex",1001644719,1966/11/22,Male,08/15/2011,,N/A - still employed,Active,IT/IS,Software Manager,Jennifer Zamora,Social Media,Fully Meets,Bachelor,4,3.09,4.63,Yes,3,4,Yes,Both Mentor and Mentee,3.56 ,92,Yes
"Suen, Collin",1901495124,1975/1/1,Male,2016/1/2,,N/A - still employed,Active,Executive Office,Executive Assistant,Janet King,Headhunter,N/A- too early to review,Doctorate,4,,,,,,,Mentee,,108,No
